model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,llama3-8b-instruct|bm25|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.7267425963176569,0.6846957597513443
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,llama3-8b-instruct|bm25|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.7251955002192924,0.6864111417013666
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,llama3-8b-instruct|bm25|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.7269419553899482,0.6864111417013666
llama3-8b-instruct,bm25,eng_Latn-xho_Latn,llama3-8b-instruct|bm25|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.4493842655314287,0.405263698148162
llama3-8b-instruct,bm25,eng_Latn-xho_Latn,llama3-8b-instruct|bm25|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.4495098184013791,0.405263698148162
llama3-8b-instruct,bm25,eng_Latn-xho_Latn,llama3-8b-instruct|bm25|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.44809492350567,0.4049694275431953
llama3-8b-instruct,bm25,eng_Latn-xho_Latn,llama3-8b-instruct|bm25|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.4479333651749042,0.4049694275431953
llama3-8b-instruct,gte,eng_Latn-hau_Latn,llama3-8b-instruct|gte|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.6655338559108289,0.5234734207804024
llama3-8b-instruct,gte,eng_Latn-hau_Latn,llama3-8b-instruct|gte|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.6670973224072118,0.5234734207804024
llama3-8b-instruct,gte,eng_Latn-hau_Latn,llama3-8b-instruct|gte|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.6674024486553528,0.5267204964761677
llama3-8b-instruct,gte,eng_Latn-hau_Latn,llama3-8b-instruct|gte|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.6687384962211014,0.5267204964761677
llama3-8b-instruct,gte,eng_Latn-plt_Latn,llama3-8b-instruct|gte|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5745326094182113,0.4500571711673567
llama3-8b-instruct,gte,eng_Latn-plt_Latn,llama3-8b-instruct|gte|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5741750080830494,0.4500571711673567
llama3-8b-instruct,gte,eng_Latn-plt_Latn,llama3-8b-instruct|gte|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5884178155819654,0.4613615697021541
llama3-8b-instruct,gte,eng_Latn-plt_Latn,llama3-8b-instruct|gte|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5887956349363205,0.4613615697021541
llama3-8b-instruct,gte,eng_Latn-som_Latn,llama3-8b-instruct|gte|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.520112530000714,0.4666269223386119
llama3-8b-instruct,gte,eng_Latn-som_Latn,llama3-8b-instruct|gte|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5184120100448019,0.4666269223386119
llama3-8b-instruct,gte,eng_Latn-som_Latn,llama3-8b-instruct|gte|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5287880982040417,0.4716678321538235
llama3-8b-instruct,gte,eng_Latn-som_Latn,llama3-8b-instruct|gte|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5270730272053259,0.4716678321538235
llama3-8b-instruct,gte,eng_Latn-swh_Latn,llama3-8b-instruct|gte|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.7316434565681242,0.6899615752367163
llama3-8b-instruct,gte,eng_Latn-swh_Latn,llama3-8b-instruct|gte|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.732441120261967,0.6899615752367163
llama3-8b-instruct,gte,eng_Latn-swh_Latn,llama3-8b-instruct|gte|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.7317069063603643,0.6897656115383027
llama3-8b-instruct,gte,eng_Latn-swh_Latn,llama3-8b-instruct|gte|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.7328209493589024,0.6897656115383027
llama3-8b-instruct,gte,eng_Latn-xho_Latn,llama3-8b-instruct|gte|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.4420936881700759,0.4005325285813554
llama3-8b-instruct,gte,eng_Latn-xho_Latn,llama3-8b-instruct|gte|eng_Latn-xho_Latn,original,revised_keep_higher,Odev/Rdevtest,0.442153736948967,0.4005325285813554
llama3-8b-instruct,gte,eng_Latn-xho_Latn,llama3-8b-instruct|gte|eng_Latn-xho_Latn,revised_keep_higher,original,Rdev/Odevtest,0.4415287386935219,0.4015551694179241
