model_tag,retriever,lang_pair,selector_method,num_samples,avg_demo_xcomet,avg_error_penalty,major_or_critical_demo_ratio,avg_original_rank,topk_overlap,source_semantic_diversity,comet22,delta_comet22_vs_topk
bloomz-7b1-mt,gte,eng_Latn-som_Latn,error_filter,1012,0.65347530054142,1.628289294969829,0.8383152173913043,6.076457509881423,0.7393774703557312,0.4526248789349816,0.5460145065759717,0.005147359205093349
bloomz-7b1-mt,gte,eng_Latn-som_Latn,error_profile_rerank,1012,0.638121848474091,1.6763326785660113,0.7963191699604744,5.215785573122529,0.8388092885375494,0.44532757473637297,0.5405352670154553,-0.00033188035542308647
bloomz-7b1-mt,gte,eng_Latn-som_Latn,low_quality,1012,0.24775695950602708,3.5254423494583635,0.8432559288537549,25.857089920948617,0.15069169960474307,0.4989748144620122,0.49624511029703816,-0.044622037073840215
bloomz-7b1-mt,gte,eng_Latn-som_Latn,quality_only,1012,0.8787111875567983,0.40501956951264506,0.4094614624505929,25.350914031620555,0.16452569169960474,0.49585395891961914,0.543185617524409,0.002318470153530594
bloomz-7b1-mt,gte,eng_Latn-som_Latn,quality_rerank,1012,0.5805259737132757,1.9987374967362057,0.8544960474308301,4.60548418972332,0.9550395256916996,0.44306552146347417,0.5437198675167655,0.002852720145887111
bloomz-7b1-mt,gte,eng_Latn-som_Latn,random_in_topn,1012,0.5557978505235563,2.0887240356283137,0.8496788537549407,25.485795454545453,0.15847332015810275,0.49986578192707004,0.5190840436535862,-0.021783103717292196
bloomz-7b1-mt,gte,eng_Latn-som_Latn,retriever_topk,1012,0.5631276900988632,2.0812693841981846,0.8542490118577075,4.5,1.0,0.4428059403221362,0.5408671473708784,0.0
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,error_filter,1012,0.8442759895439558,0.7610821934207876,0.5507658102766798,5.549283596837944,0.8089179841897233,0.4500127165009836,0.8111163816845464,0.004187674375744188
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,error_profile_rerank,1012,0.8293681496389859,0.8351233141402516,0.5240859683794467,5.01469861660079,0.861042490118577,0.4446657339930282,0.8082657556671634,0.001337048358361237
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,low_quality,1012,0.4841514657501853,2.803732215479473,0.9892539525691699,25.967144268774703,0.1480978260869565,0.49479349870560774,0.8050715934352677,-0.0018571138735344883
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,quality_only,1012,0.9740769765210953,0.05990930929125628,0.014451581027667984,25.609930830039527,0.15699110671936758,0.4923072729968607,0.8118883115883637,0.004959604279561547
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,quality_rerank,1012,0.7945742118337997,1.0502993606988662,0.6177124505928854,4.5749752964426875,0.9655385375494071,0.44289274896452446,0.8096260937453494,0.0026973864365472666
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,random_in_topn,1012,0.7764840649750099,1.1513102980059688,0.6487154150197628,25.485795454545453,0.15847332015810275,0.49986578192707004,0.8094628721976234,0.0025341648888211887
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,retriever_topk,1012,0.7813263363370546,1.1232717293988836,0.6314229249011858,4.5,1.0,0.4428059403221362,0.8069287073088022,0.0
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,error_filter,1012,0.5652574510847332,1.166341857604888,0.6545207509881423,6.199604743083004,0.7264081027667985,0.4536385259952318,0.5409229498341857,-0.0018098511891402325
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,error_profile_rerank,1012,0.5606878535516501,1.3584609272110149,0.6592144268774703,5.280138339920948,0.8364624505928854,0.44453823242814006,0.5467170685853647,0.003984267562038846
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,low_quality,1012,0.2120960088218507,3.649744315140185,0.7791501976284585,25.7012104743083,0.1587203557312253,0.4989618283819001,0.5256904636329341,-0.017042337390391737
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,quality_only,1012,0.8233901438461579,0.40532162183675813,0.40464426877470355,25.09004446640316,0.17477766798418973,0.48876950033282507,0.546102571923271,0.003369770899945168
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,quality_rerank,1012,0.49695567474534863,1.628856797576394,0.7029397233201581,4.602643280632411,0.9555335968379447,0.4432609841829131,0.550032390627583,0.0072995896042571395
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,random_in_topn,1012,0.47678769424947887,1.7673909689814662,0.7122035573122529,25.485795454545453,0.15847332015810275,0.49986578192707004,0.5252828496718124,-0.017449951351513504
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,retriever_topk,1012,0.4828719801376224,1.7454850555451862,0.709856719367589,4.5,1.0,0.4428059403221362,0.5427328010233259,0.0
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,error_filter,1012,0.7001061993190952,1.6239396584626098,0.7840909090909091,5.587327075098814,0.8026185770750988,0.5185540425961912,0.5376730031470065,-0.0036952788591856356
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,error_profile_rerank,1012,0.6999988632447827,1.506120707801969,0.7210968379446641,5.265069169960475,0.833498023715415,0.5158158184903691,0.536414975734803,-0.004953306271389124
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,low_quality,1012,0.303229057077289,3.035786148537804,0.8678359683794467,25.971343873517785,0.1443922924901186,0.5339969717978985,0.49145106208536465,-0.04991721992082748
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,quality_only,1012,0.9075503168855849,0.3370008030581871,0.24221837944664032,25.056324110671937,0.17588932806324112,0.5339674875366316,0.5259307210771699,-0.015437560929022265
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,quality_rerank,1012,0.6458487308100087,1.8210036791217639,0.7974308300395256,4.60350790513834,0.9581274703557312,0.5143698826106187,0.5367955450601729,-0.004572736946019229
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,random_in_topn,1012,0.621010438586022,1.9498073354054615,0.8153409090909091,25.485795454545453,0.15847332015810275,0.543459333122862,0.5013454585619594,-0.04002282344423269
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,retriever_topk,1012,0.6288705255749742,1.879652614906348,0.799901185770751,4.5,1.0,0.5139013488873218,0.5413682820061921,0.0
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,error_filter,1012,0.6577930724093684,1.4180117643346468,0.7581521739130435,5.801506916996048,0.7791501976284585,0.5177402377737563,0.5202583145247146,0.003115880582583941
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,error_profile_rerank,1012,0.6553114290246114,1.3582038026406233,0.6982460474308301,5.258646245059288,0.8364624505928854,0.5154171209936969,0.5213063694094952,0.004163935467364488
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,low_quality,1012,0.26025589648450137,3.1704185488706083,0.727149209486166,26.341403162055336,0.13846343873517786,0.5374279354726827,0.470537941843978,-0.04660449209815265
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,quality_only,1012,0.8740626131681349,0.3048184554472675,0.34634387351778656,24.850296442687746,0.17922430830039526,0.5388169908661549,0.5178800890951053,0.0007376551529746367
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,quality_rerank,1012,0.5954250558224238,1.6873781728827693,0.7613636363636364,4.587203557312253,0.9624505928853755,0.5141107841357504,0.5220554525938195,0.004913018651688805
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,random_in_topn,1012,0.5626415306915761,1.8693672067992904,0.790143280632411,25.485795454545453,0.15847332015810275,0.543459333122862,0.4985904808601607,-0.01855195308196994
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,retriever_topk,1012,0.5815897309764292,1.755161524991851,0.7582756916996047,4.5,1.0,0.5139013488873218,0.5171424339421307,0.0
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,error_filter,1012,0.669571446243806,1.5466069824465305,0.834856719367589,5.873147233201581,0.7611166007905138,0.5191471877543099,0.560680438215907,0.009851563913313321
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,error_profile_rerank,1012,0.6626015581593668,1.5385801767993459,0.7871788537549407,5.280138339920948,0.8307806324110671,0.5152611588588051,0.5521736187867732,0.0013447444841795386
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,low_quality,1012,0.25404201218630135,3.4970975113446086,0.8417737154150198,26.276556324110672,0.14513339920948617,0.5462136058423948,0.5048980929996564,-0.04593078130293726
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,quality_only,1012,0.8837555972454341,0.39568560015346016,0.4220602766798419,24.787672924901187,0.17588932806324112,0.539694526741299,0.5451136997094739,-0.005715174593119765
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,quality_rerank,1012,0.6046845650212037,1.8502571614173493,0.8452322134387352,4.613759881422925,0.9520750988142292,0.5139681688830139,0.5526466089422288,0.0018177346396351934
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,random_in_topn,1012,0.5717978291213512,2.011368414259226,0.8486907114624506,25.485795454545453,0.15847332015810275,0.543459333122862,0.5253819455889609,-0.025446928713632744
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,retriever_topk,1012,0.5854190157812913,1.939317046012855,0.84375,4.5,1.0,0.5139013488873218,0.5508288743025936,0.0
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,error_filter,1012,0.8574991665721646,0.6845864363066767,0.5247035573122529,5.488512845849803,0.8184288537549407,0.5183442247435156,0.8119220298829051,0.0006232409049635734
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,error_profile_rerank,1012,0.8475386333935286,0.7302049013427988,0.48974802371541504,5.086462450592886,0.8491847826086957,0.5151436039057831,0.8135554216242591,0.002256632646317591
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,low_quality,1012,0.4975640750306073,2.7047670984818497,0.9887598814229249,26.029397233201582,0.14377470355731226,0.5354553823954075,0.8071601948601456,-0.004138594117795935
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,quality_only,1012,0.9757501489221461,0.06173342534869943,0.014451581027667984,24.911437747035574,0.17119565217391305,0.5335538211688272,0.8119989927755042,0.0007002037975627484
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,quality_rerank,1012,0.8111210797725635,0.9491270997448351,0.5899209486166008,4.585103754940712,0.9628211462450593,0.5142783349504004,0.8132840559004324,0.0019852669224909025
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,random_in_topn,1012,0.7891071608470451,1.072066745625097,0.6294466403162056,25.485795454545453,0.15847332015810275,0.543459333122862,0.8110422820088421,-0.0002565069690994015
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,retriever_topk,1012,0.7966042620041537,1.0268353918414874,0.6053606719367589,4.5,1.0,0.5139013488873218,0.8112987889779415,0.0
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,error_filter,1012,0.5693231462721856,1.13310669195809,0.6534090909090909,6.196887351778656,0.7222084980237155,0.5199559949494095,0.5566004377167687,0.002608782453499381
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,error_profile_rerank,1012,0.5719352339140393,1.2401376850886712,0.6435276679841897,5.420083992094861,0.8223814229249012,0.5151187090775317,0.5552949377081611,0.0013032824448917513
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,low_quality,1012,0.21479328221129806,3.0785106729093155,0.6961462450592886,26.056077075098813,0.1482213438735178,0.5374793800015796,0.5277646727742178,-0.02622698248905153
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,quality_only,1012,0.8249932030407278,0.4076354918520623,0.421195652173913,25.093255928853754,0.1734189723320158,0.5338231110282743,0.5541087181671805,0.00011706290391122476
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,quality_rerank,1012,0.5004622272672242,1.5180447647616657,0.6857707509881423,4.595108695652174,0.9586215415019763,0.5144410753466993,0.5555693873539272,0.001577732090657924
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,random_in_topn,1012,0.477782898657981,1.6668221854446796,0.6950345849802372,25.485795454545453,0.15847332015810275,0.543459333122862,0.5417870973704361,-0.012204557892833257
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,retriever_topk,1012,0.48765513695327367,1.5968399271908247,0.6879940711462451,4.5,1.0,0.5139013488873218,0.5539916552632693,0.0
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,error_filter,1012,0.694141669651648,1.7201240648958886,0.8087944664031621,5.586709486166008,0.7982954545454546,0.5593282775180377,0.6621352052205636,0.00011644073625793894
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,error_profile_rerank,1012,0.694833638259714,1.5941974065574083,0.745306324110672,5.273097826086956,0.8347332015810277,0.5560768269168614,0.663047691431677,0.0010289269473713336
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,low_quality,1012,0.30120595005477074,3.3883780137034947,0.9063735177865613,25.920701581027668,0.1509387351778656,0.5571839222815972,0.6412680948175224,-0.020750669666783184
