language,split,example_id,original_xcomet,retranslated_xcomet,keep_higher_xcomet,improved,kept_original,bottom20_rank
eng_Latn-hau_Latn,devtest,389,0.117924600839615,0.512406826019287,0.512406826019287,1,0,2
eng_Latn-hau_Latn,devtest,782,0.118271686136723,0.352722555398941,0.352722555398941,1,0,3
eng_Latn-hau_Latn,devtest,891,0.135280728340149,0.723508477210999,0.723508477210999,1,0,4
eng_Latn-hau_Latn,devtest,584,0.136860221624374,0.827865064144135,0.827865064144135,1,0,5
eng_Latn-hau_Latn,devtest,742,0.140657022595406,0.795145928859711,0.795145928859711,1,0,6
eng_Latn-hau_Latn,devtest,233,0.14255428314209,0.303823858499527,0.303823858499527,1,0,7
eng_Latn-hau_Latn,devtest,541,0.144555509090424,0.56477415561676,0.56477415561676,1,0,8
eng_Latn-hau_Latn,devtest,835,0.144580826163292,0.519834339618683,0.519834339618683,1,0,9
eng_Latn-hau_Latn,devtest,481,0.155141055583954,0.544970512390137,0.544970512390137,1,0,10
eng_Latn-hau_Latn,devtest,945,0.157822415232658,0.32411116361618,0.32411116361618,1,0,11
eng_Latn-hau_Latn,devtest,966,0.158142283558846,0.249777302145958,0.249777302145958,1,0,12
eng_Latn-hau_Latn,devtest,877,0.159313544631004,0.126303017139435,0.159313544631004,0,1,13
eng_Latn-hau_Latn,devtest,585,0.161556556820869,0.544920206069946,0.544920206069946,1,0,14
eng_Latn-hau_Latn,devtest,760,0.17061285674572,0.901020050048828,0.901020050048828,1,0,15
eng_Latn-hau_Latn,devtest,544,0.171070635318756,0.462951421737671,0.462951421737671,1,0,16
eng_Latn-hau_Latn,devtest,850,0.171665355563164,0.476125121116638,0.476125121116638,1,0,17
eng_Latn-hau_Latn,devtest,508,0.173090502619743,0.289465308189392,0.289465308189392,1,0,18
eng_Latn-hau_Latn,devtest,631,0.178777113556862,0.215313285589218,0.215313285589218,1,0,19
eng_Latn-hau_Latn,devtest,382,0.183790355920792,0.945237874984741,0.945237874984741,1,0,20
eng_Latn-hau_Latn,devtest,23,0.184774458408356,0.310575246810913,0.310575246810913,1,0,21
