model_tag,retriever,lang_pair,num_queries,k,avg_revised_demo_count,query_coverage,revised_demo_ratio,pct_query_0_revised,pct_query_1_revised,pct_query_2_revised,pct_query_3plus_revised,delta_comet22,delta_qe,definition
llama3-8b-instruct,gte,eng_Latn-hau_Latn,1012,8.0,1.4683794466403162,0.7776679841897233,0.1835474308300395,0.2223320158102766,0.3567193675889328,0.2440711462450593,0.1768774703557312,0.0018685927445238,0.0032470756957653,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-plt_Latn,1012,8.0,1.2361660079051384,0.7144268774703557,0.1545207509881423,0.2855731225296443,0.3527667984189723,0.25,0.1116600790513833,0.0138852061637541,0.0113043985347973,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-som_Latn,1012,8.0,1.4802371541501975,0.7905138339920948,0.1850296442687747,0.2094861660079051,0.341897233201581,0.2776679841897233,0.1709486166007905,0.0086755682033277,0.0050409098152115,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-swh_Latn,1012,8.0,1.3814229249011858,0.7579051383399209,0.1726778656126482,0.242094861660079,0.3725296442687747,0.2312252964426877,0.1541501976284585,6.344979224004454e-05,-0.0001959636984135,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-xho_Latn,1012,8.0,1.383399209486166,0.7460474308300395,0.1729249011857707,0.2539525691699604,0.3221343873517787,0.2658102766798419,0.1581027667984189,-0.0005649494765539,0.0010226408365686,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-hau_Latn,1012,8.0,1.3982213438735178,0.7618577075098815,0.1747776679841897,0.2381422924901186,0.3349802371541502,0.2658102766798419,0.1610671936758893,0.0015144581380097,-0.0007929809303151,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-plt_Latn,1012,8.0,1.2025691699604744,0.6650197628458498,0.1503211462450593,0.3349802371541502,0.3201581027667984,0.2114624505928853,0.133399209486166,0.0112938296653536,0.0067618907145832,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-som_Latn,1012,8.0,1.274703557312253,0.6956521739130435,0.1593379446640316,0.3043478260869565,0.3260869565217391,0.2193675889328063,0.150197628458498,0.0057231696403545,0.002812542256866,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-swh_Latn,1012,8.0,1.2895256916996047,0.6966403162055336,0.1611907114624506,0.3033596837944664,0.3399209486166007,0.1956521739130435,0.1610671936758893,-0.0004757764664562,0.0002923569542617,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-xho_Latn,1012,8.0,1.2944664031620554,0.7381422924901185,0.1618083003952569,0.2618577075098814,0.3675889328063241,0.2282608695652173,0.1422924901185771,0.0073117682113948,0.0025016919602989,actual target-text replacements after keep-higher
